Titre,lien_wikipedia,annee,url_imdb,url_allocine
15 août,"https://fr.wikipedia.org/wiki/15_ao%C3%BBt_(film,_2001,_Alessandrin)",2000,https://www.imdb.com/title/tt0271935,https://www.allocine.fr/film/fichefilm_gen_cfilm=19430.html
À l'attaque !,https://fr.wikipedia.org/wiki/%C3%80_l%27attaque_!,2000,https://www.imdb.com/title/tt0235108,https://www.allocine.fr/film/fichefilm_gen_cfilm=23133.html
Les Acteurs,https://fr.wikipedia.org/wiki/Les_Acteurs,2000,https://www.imdb.com/title/tt0211900,https://www.allocine.fr/film/fichefilm_gen_cfilm=23668.html
"Belphégor, le fantôme du louvre","https://fr.wikipedia.org/wiki/Belph%C3%A9gor,_le_fant%C3%B4me_du_louvre",2000,https://www.imdb.com/title/tt0214529,https://www.allocine.fr/film/fichefilm_gen_cfilm=27435.html
Les Blessures assassines,https://fr.wikipedia.org/wiki/Les_Blessures_assassines,2000,https://www.imdb.com/title/tt0216578,https://www.allocine.fr/film/fichefilm_gen_cfilm=27127.html
La Candide Madame Duff,https://fr.wikipedia.org/wiki/La_Candide_Madame_Duff,2000,https://www.imdb.com/title/tt0213539,https://www.allocine.fr/film/fichefilm_gen_cfilm=21843.html
Les Destinées sentimentales,https://fr.wikipedia.org/wiki/Les_Destin%C3%A9es_sentimentales_(film),2000,https://www.imdb.com/title/tt0216689,https://www.allocine.fr/film/fichefilm_gen_cfilm=25249.html
Esther Kahn,https://fr.wikipedia.org/wiki/Esther_Kahn,2000,https://www.imdb.com/title/tt0183056,https://www.allocine.fr/film/fichefilm_gen_cfilm=6702.html
La Fausse Suivante,https://fr.wikipedia.org/wiki/La_Fausse_Suivante_(film),2000,https://www.imdb.com/title/tt0233709,https://www.allocine.fr/film/fichefilm_gen_cfilm=23065.html
La Faute à Voltaire,https://fr.wikipedia.org/wiki/La_Faute_%C3%A0_Voltaire,2000,https://www.imdb.com/title/tt0239388,https://www.allocine.fr/film/fichefilm_gen_cfilm=28254.html
